epoch,step,train_loss,train_dpos,train_dneg,val_loss,val_dpos,val_dneg
1,436,0.4294320725656431,0.2510963240937424,0.15100230723875788,0.40712525908152264,0.0697758402923743,-0.05735863983631134
2,872,0.42322809966879155,0.2770499632962971,0.1663165326089248,0.4060358898639679,0.41506733242670696,0.2920912834008535
3,1308,0.4221908320937682,0.3175902999841412,0.20246766162010918,0.40364426271120707,0.4524137061436971,0.2984071460167567
4,1744,0.3490074642275998,0.47068274677346605,0.2061651974848104,0.3048451724052429,0.47397074683507284,0.06559561568995317
5,2180,0.23988114905740143,0.6000536325464555,0.10959227657513779,0.250046782096227,0.6358134412765503,0.13355647366245588
6,2616,0.20570745454127087,0.613576818633517,0.04190195577193496,0.1972282352844874,0.4345385783513387,-0.16433163837591808
7,3052,0.1804800550837856,0.619127931671405,0.002142392682048296,0.17472031505902608,0.5544683141708374,-0.10302434311062098
8,3488,0.16423256626916588,0.633413600128725,-0.01875733256066611,0.18062493375937144,0.5757000959714254,-0.05425709283351898
9,3924,0.15470524004088082,0.6411276563591913,-0.02615108294946509,0.15433134015401204,0.6346959889729817,-0.05641864737868309
10,4360,0.14074807808042392,0.6536109545908937,-0.03629535458845283,0.14936762793858846,0.5854390983581543,-0.11435026564200719
11,4796,0.13221007905934656,0.6572517086879923,-0.04097553330939263,0.13484560789664587,0.6610501364072164,-0.027204614087939262
12,5232,0.12016544183459851,0.6684485978079499,-0.047028464857924626,0.10717981904745102,0.6856064653396606,-0.05924653513232867
13,5668,0.11338515433593901,0.6892413544818896,-0.039399178882360185,0.10882811760902404,0.7046484554608663,-0.04788538118700186
14,6104,0.1089226673998007,0.6961829304148298,-0.03900603748379498,0.09620879238843918,0.703117817401886,-0.050560894509156545
15,6540,0.10167262205050899,0.7099635309855873,-0.041045356605953855,0.09265040485064188,0.702704795996348,-0.07043245753645896
16,6976,0.09980052547238835,0.7110894085890657,-0.04250395476472043,0.09836888448397318,0.7062482137680054,-0.05655511396129926
17,7412,0.10011848052878172,0.7121132121447029,-0.043669679082519966,0.08854448157548904,0.6922564253807068,-0.10239192571739356
18,7848,0.09794081456173177,0.7242803219534936,-0.040835007196377726,0.08674050423502921,0.7321119856834412,-0.06479622519016266
19,8284,0.0946106920958659,0.7276745374323031,-0.042097574112714704,0.09653599913914998,0.7049393040339152,-0.05097259342173735
20,8720,0.09472602449887253,0.7238226893844955,-0.04390792900572505,0.08658911104997,0.69322274573644,-0.09796728526552519
